3,2022-07-30 15:10:54,-34,-82,リビング,2
6,2022-07-30 15:10:57,-40,-79,リビング,2
9,2022-07-30 15:11:00,-47,-83,リビング,2
12,2022-07-30 15:11:03,-37,-84,リビング,2
15,2022-07-30 15:11:06,-69,-85,リビング,2
18,2022-07-30 15:11:09,-44,-77,リビング,2
21,2022-07-30 15:11:12,-110,-81,玄関,1
24,2022-07-30 15:11:15,-110,-77,玄関,1
27,2022-07-30 15:11:18,-64,-27,玄関,1
30,2022-07-30 15:11:21,-54,-23,玄関,1
33,2022-07-30 15:11:24,-50,-23,玄関,1
36,2022-07-30 15:11:27,-51,-21,玄関,1
39,2022-07-30 15:11:30,-57,-110,リビング,2
42,2022-07-30 15:11:33,-50,-23,玄関,1
45,2022-07-30 15:11:36,-50,-21,玄関,1
48,2022-07-30 15:11:39,-51,-23,玄関,1
51,2022-07-30 15:11:42,-50,-23,玄関,1
54,2022-07-30 15:11:45,-110,-26,玄関,1
57,2022-07-30 15:11:48,-57,-26,玄関,1
60,2022-07-30 15:11:51,-110,-110,圏外,0
63,2022-07-30 15:11:54,-58,-26,玄関,1
66,2022-07-30 15:11:57,-57,-21,玄関,1
69,2022-07-30 15:12:00,-110,-23,玄関,1
72,2022-07-30 15:12:03,-50,-23,玄関,1
75,2022-07-30 15:12:06,-66,-23,玄関,1
78,2022-07-30 15:12:09,-51,-21,玄関,1
81,2022-07-30 15:12:12,-56,-26,玄関,1
84,2022-07-30 15:12:15,-110,-51,玄関,1
87,2022-07-30 15:12:18,-110,-110,圏外,0
90,2022-07-30 15:12:21,-110,-110,圏外,0
93,2022-07-30 15:12:24,-110,-110,圏外,0
96,2022-07-30 15:12:27,-110,-110,圏外,0
99,2022-07-30 15:12:30,-110,-110,圏外,0
102,2022-07-30 15:12:33,-110,-110,圏外,0
105,2022-07-30 15:12:36,-110,-110,圏外,0
108,2022-07-30 15:12:39,-110,-110,圏外,0
111,2022-07-30 15:12:42,-110,-110,圏外,0
114,2022-07-30 15:12:45,-110,-110,圏外,0
117,2022-07-30 15:12:48,-110,-110,圏外,0
